reviewerName,productName
A***A,"['Team T Force Vulcan Z 256 Gb Ssd 256Gb Sata Iii 6Gb S 2 5 Resmi', 'Konektor Rj45 Cat5 Anti Gagal Telebit']"
A***E,['Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori']
A***I,"['Pc Lengkap Core I5 Hdd 500Gb Ddr 8Gb Monitor 19 Inci', 'Pc Lengkap Core I5 Hdd 500Gb Ddr 8Gb Monitor 19 Inci', 'Casing Gaming Armageddon Nimitz N5']"
A***a,"['Cpu Cooler Processor Pccooler R400 Black Argb For Amd Intel', 'Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz', 'Power Supply Cooler Master Elite Nex W500 500W 80', 'Pc Rakitan Intel I7 10700 Generasi 10 Ddr4 64Gb Ssd 500 Gb New', 'Ssd 128Gb Midasforce Sata Iii Super Lightning', 'Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz', 'Kabel Hdmi M M High Quality 1 5 Meter High Speed Hd Tv Cable', 'Komputer Mini Pc Kit Intel Nuc Nuc5I3Ryh I3 Ram 8Gb Ssd Nvme 128Gb', 'Baut Ssd M2 Sata Nvme Skrup Mur M 2 Sata Baut Mur Ssd M 2Sata', 'Motherboard Asrock B450M Hdv R4 0 Ryzen Am4 Micro Atx Form Factor', 'Pc Gaming Amd Ryzen 3 3200G Vga Vega 8 Hdd 500Gb']"
A***b,['Vga Gt 740 4Gb Ddr3 128Bit Vurrion Geforce Nvidia']
A***d,"['Ssd M 2 Nvme Gen 3 Visipro Vault Series 256Gb 512Gb Garansi Resmi 3 Tahun', 'Adata Ssd Su650 Ultimate 512Gb Sata 3 Su650 3D Nand 512 Gb 2 5', 'Memory Sodim Hynix Ddr3 8Gb Pc12800 Lowvoltage', 'Ssd M 2 Nvme 256Gb Midasforce M2 Nvme 256Gb Midas Pcie Gen3 X4 Ssd', 'Casing Varro Macqua S2 Black Or White Include 3 Fan', 'Ssd Team Mp44L 1Tb Ssd Nvme 1 Tb M 2 2280 Pcie Gen 4X4', 'Msi A520M Pro Socket Am4', 'Monitor Led Lenovo L22E 40 21 5 Fhd Va Panel 75 Hz Anti Glare', 'Msi Mag A550Bn 550W 80 Bronze', 'Team T Create Classic 16Gb Kit 8Gbx2 Ddr4 3200Mhz Pc4 25600', 'Amd Processor Ryzen 5 5500Gt Wraight Stealth Cooler 5500 Gt', 'Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz', 'Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render', 'Monitor Led Spc Sm 19Hd 19 Inch Vga Hdmi Garansi Resmi', 'Mercusys Mw150Us 150Mbps Nano Usb Wireless Adapter', 'Monitor Viewsonic Va2201 H 22 Inch Fhd 75Hz 4Ms', 'Aerocool Lux Rgb 550W 550 Watt 80 Bronze', 'Monitor Samsung 24 75Hz S24R350Fhe Ips Fhd Hdmi Led Ls24R350Fhexxd', 'Gamemax Aero Mini Frgb Tempered Glass Gaming Micro Atx Case 3 Fan']"
A***e,"['Pc Gaming Intel Core I5 10400F Rtx 4060 8Gb Ram 16Gb Gaming Rendering Editing Streaming', 'Pc Rakitan Gaming Ryzen 5 5600 Rx 6600 8Gb Ddr6 16Gb Nvme', 'Hardisk Pc 500Gb Hdd Hdd Internal Komputer 500 Gb Sata 3 5']"
A***f,"['Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori', 'Pc Rakitan Gaming I7 3770 Gtx 1050Ti 4Gb Cocok Editing Render', 'Ssd 120 Gb Midas Force Sata Iii Super Lightning', 'Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori', 'Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori', 'Fan Case Rgb 12Cm Paradox Gaming Hypersonic F 400 Rgb Rainbow Hitam', 'Jonsbo Cr 1200 Jonsbo Cr1200 Cpu Cooler Hsf Cooler Rgb', 'Samsung Curved Lc24F390Fhex Xd Monitor 24 Inch', 'Mouse Wireless Logitech M331 Silent Plus Mouse No Clickling Sound']"
A***g,"['Processor Intel Core I5 10400F 2 9 Ghz Tray Fan Lga 1200', 'Fan Casing Pc Cooler Fx 120 3 Dynamic Color 120Mm', 'Speaker Simbadda Cst 3000N', 'Psu Innovation 400 Watt Bronze Garansi 8 Tahun', 'Pc Gaming I9 9900K Vga Rx 560 4Gb Ram 16Gb']"
A***i,"['Team T Force Vulcan Z Ssd 1Tb 2 5 Sata Iii 6Gb S', 'Ssd Adata Legend 710 256Gb M 2 Nvme Pcie Gen3X4', 'Ssd 256 Gb High Speed Vurrion Resmi Garansi Resmi', 'Ssd 256 Gb High Speed Vurrion Resmi Garansi Resmi', 'Logitech Wireless Combo Keyboad Mouse Mk235 Mk 235 New', 'Pc Rakitan Gaming Ryzen 5 5500 Rx 580 8Gb Ddr5 Cocok Editing Render Cepat', 'Monitor Msi Led Ips Pro Mp251W E2 Full Hd 25 Inch', 'Baut Screw Skrup Motherboard Mobo Ssd Sata Lengkap', 'Kabel Power Sata Hardisk Dvd', 'Kabel Data Sata Clip', 'Team T Force Vulcan Z 256 Gb Ssd 256Gb Sata Iii 6Gb S 2 5 Resmi', 'Ssd Hongtai 128Gb Sata H500 Plus 2 5 128Gb I 256Gb I 512Gb Sata', 'Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori', 'Ssd Pny Cs900 2 5 Sata Iii 240 Gb', 'Cpu Pc Rakitan Core I5 For Office Bonus Usb Wifi Wireles', 'Pc Rakitan Core I5 7500 8Gb Ddr4 Ssd 256Gb', 'Simbadda Battleground 202 Rgb Tempered Glass Mid Tower Gaming Casing', 'Packing Kayu Standard', 'Vga Gt 1030 2 Gb Ddr5 Colorful', 'Logitech C270 Hd Webcam', 'Monitor Led Spc Sm 19Hd 19 Inch Vga Hdmi Garansi Resmi']"
