support,itemsets
0.02212051868802441,['Aerocool Lux Rgb 650M Modular Psu 80 Bronze 650W']
0.015255530129672006,['Corsair Rm750 750 Watt 80 Plus Gold Fully Modular Psu Cp 9020195 Eu']
0.03051106025934401,['Cpu Pc Rakitan Core I5 For Office Bonus Usb Wifi Wireles']
0.011441647597254004,['Extra Packing Plastik Buble Warp']
0.016781083142639208,['Fan Casing Pc Cooler Fx 120 3 Dynamic Color 120Mm']
0.012204424103737605,['Harddisk Caddy 9 5Mm Ssd Sata For Laptop Notebook 9 5 Mm Hdd Caddy']
0.04042715484363082,['Hardisk Pc 500Gb Hdd Hdd Internal Komputer 500 Gb Sata 3 5']
0.015255530129672006,['Hynix Ram Pc Ddr4 8Gb Pc4 2666 21300 Longdimm']
0.014492753623188406,['Komputer Mini Pc Kit Intel Nuc Nuc5I3Ryh I3 Ram 4Gb Ssd 120Gb']
0.04881769641495042,['Memory Ram Pc Hynix 16N11 8 8Gb 1X8 Ddr3 Pc3 12800 1600Mhz']
0.016018306636155607,['Monitor Led Spc Sm 19Hd 19 Inch Vga Hdmi Garansi Resmi']
0.012967200610221205,['Monitor Samsung 27 Inch C27R500 Fhd Led Curved C27R500Fhe']
0.013729977116704805,['Packing Kayu Standard']
0.012204424103737605,['Pc Gaming Fullset Amd Ryzen 5 5600G Ssd 128Gb Lengkap Led 24 Inc']
0.013729977116704805,['Pc Gaming Fullset Amd Ryzen 5 5600Gt Ssd 256Gb Lengkap Led 24 Inc Keyboard Mouse Gaming']
0.034324942791762014,['Pc Rakitan Gaming I5 3470 Gtx 1050Ti 4Gb Cocok Editing Render']
0.011441647597254004,['Psu Power Supply Varro 500 Watt']
0.010678871090770405,['Ssd 128Gb Midasforce Sata Iii Super Lightning']
0.012204424103737605,['Ssd 256 Gb High Speed Vurrion Resmi Garansi Resmi']
0.11289092295957284,['Vga Gaming Vurrion Gtx 750 Ti 4Gb Ddr5 128Bit Gaming Vga Ori']
0.017543859649122806,['Vurrion Blaze Radeon Rx580 8Gb Rx 580 8G Rx 580 8Gb Amd Radeon']
0.02212051868802441,['Aerocool Lux Rgb 650M Modular Psu 80 Bronze 650W']
0.015255530129672006,['Corsair Rm750 750 Watt 80 Plus Gold Fully Modular Psu Cp 9020195 Eu']
0.03051106025934401,['Cpu Pc Rakitan Core I5 For Office Bonus Usb Wifi Wireles']
0.011441647597254004,['Extra Packing Plastik Buble Warp']
0.016781083142639208,['Fan Casing Pc Cooler Fx 120 3 Dynamic Color 120Mm']
0.012204424103737605,['Harddisk Caddy 9 5Mm Ssd Sata For Laptop Notebook 9 5 Mm Hdd Caddy']
